Feature,rank2,rank1,Imp2,Imp1
GrLivArea,0,1,-0.014372676071807249,0.12497077196014661
OverallQual,1,0,-0.013035765411878078,0.1593463823003174
TotalBsmtSF,2,3,-0.003991470330449758,0.05869211801134748
Age,3,2,-0.003817931123308107,0.0715550164348826
1stFlrSF,4,8,-0.0030575079254188675,0.042650734613688554
GarageCars,5,5,-0.0020482849961490426,0.05051711370034075
GarageArea,6,7,-0.0019091186082879005,0.04516384647278816
Re_Age,7,10,-0.001642004669774634,0.029977081816730443
Fireplaces,8,16,-0.001421880421999401,0.014293538383019505
ExterQual,9,4,-0.0014138371873804942,0.05697096766588518
LotArea,10,13,-0.0012663865464781314,0.01860990813159769
FullBath,11,6,-0.0012624825098981364,0.048893816825792476
BsmtFinSF1,12,14,-0.001252836283027789,0.01734552938173735
2ndFlrSF,13,15,-0.0011848152183811037,0.016781366177937053
OverallCond,14,19,-0.0010535212899604011,0.00939812753872763
GarageType,15,9,-0.0007945701611845775,0.031901077176029954
CentralAir,16,20,-0.0007903537691539286,0.008168999023676342
KitchenQual,17,12,-0.0007612305696323776,0.02331682482172949
BsmtQual,18,11,-0.0006613666812081663,0.02354166168557351
TotRmsAbvGrd,19,18,-0.0006084070289932159,0.01296646130691909
LotFrontage,20,17,-0.00048647724011986054,0.01379044757921792
Neighborhood,21,24,-0.0004504557100945099,0.005504214607773586
MSZoning,22,23,-0.00039110524599867205,0.005506534306639606
MasVnrArea,23,25,-0.0002720207298624183,0.005293671328187985
BsmtFinType1,24,32,-0.0002600444806294504,0.0036079424266330894
HalfBath,25,31,-0.00025936383002792343,0.0036418975829727003
BsmtFullBath,26,43,-0.00021679879171599553,0.0022132239722768114
GarageCond,27,35,-0.00019492583640233485,0.0032186763653086078
OpenPorchSF,28,21,-0.0001771255067992937,0.006391976348633492
WoodDeckSF,29,30,-0.00016043425786851917,0.004018167717513829
KitchenAbvGr,30,45,-0.00016021767445444438,0.0021024079880975974
BedroomAbvGr,31,28,-0.0001471157964635962,0.004474439445902311
SaleCondition,32,41,-0.000145982195957111,0.0023663364838734454
FireplaceQu,33,33,-0.00014586567029907516,0.0033694435199414013
HouseStyle,34,40,-0.00013952590499274886,0.0025684758151431593
PavedDrive,35,49,-0.00013192310095057336,0.0015350187995764033
BsmtExposure,36,42,-0.00012290951821090565,0.002289169434381778
Foundation,37,27,-0.00011422523912108656,0.0047590834386675536
BsmtUnfSF,38,22,-0.00011056582726302888,0.005893033548216398
Exterior1st,39,38,-0.00010490148856794057,0.003115555502209847
ExterCond,40,44,-9.410995958812618e-05,0.00217640745154244
BldgType,41,52,-9.258791319811249e-05,0.001454763991697324
GarageFinish,42,39,-8.57111687181146e-05,0.002913837981713852
GarageQual,43,37,-8.56978531837832e-05,0.0031174068367931253
Fence,44,48,-6.431237599749048e-05,0.0015351954117330232
LandSlope,45,53,-5.8576709253140014e-05,0.0012734480968974121
LandContour,46,54,-4.999696734670975e-05,0.0012294589553236482
MoSold,47,34,4.624341084380826e-05,0.0033460279802231276
HeatingQC,48,29,-4.098418968641673e-05,0.004053157160998089
Electrical,49,57,-3.880042235639841e-05,0.0010651309945310405
MasVnrType,50,55,-3.830194025707112e-05,0.0011171646500271655
SaleType,51,61,-3.69851322477438e-05,0.0009044326475740846
Feedr,52,65,-3.2344490015909916e-05,0.0004844529428429155
LotConfig,53,60,2.925840418523118e-05,0.000957426996508405
Functional,54,56,-2.5398716494522827e-05,0.0010818024846411145
ScreenPorch,55,58,-2.5003336905290996e-05,0.0010022772326994684
MiscVal,56,68,-2.3588484340170135e-05,0.0003672985218944373
LotShape,57,50,-2.1670869121311054e-05,0.0015016409544018133
RoofStyle,58,47,-1.9941676400941216e-05,0.0019874140698652788
Artery,59,67,-1.749060088880247e-05,0.000434366728360855
BsmtCond,60,51,-1.657529361756213e-05,0.0014597232105648301
BsmtFinSF2,61,63,-1.59789647160187e-05,0.0007789005640335558
MiscFeature,62,71,-1.381141887736928e-05,0.0003050501784801397
EnclosedPorch,63,46,-1.1387844402806213e-05,0.002015133991415753
Heating,64,64,1.072312535946654e-05,0.0006944604467282523
BsmtHalfBath,65,70,-9.048252261011774e-06,0.00035031668501567676
BsmtFinType2,66,62,7.524445000305774e-06,0.0008164398836965997
RoofMatl,67,66,6.814993349372328e-06,0.0004380961919368038
Alley,68,59,-3.728562313766448e-06,0.0009761989167938301
LowQualFinSF,69,72,-3.582828519855391e-06,0.00028042661894092565
Exterior2nd,70,36,3.278458830684172e-06,0.003145734638226183
Street,71,69,-3.145492359170332e-06,0.00035496350765453356
RRAn,72,76,3.0038415339897484e-06,0.00010802561911457774
3SsnPorch,73,73,-1.298120012531434e-06,0.00016989160096936407
RRAe,74,74,-1.2899647694845917e-06,0.0001363229764460801
PosN,75,77,-1.0037069134230525e-06,9.165691904765657e-05
PosA,76,79,7.740559501215327e-07,6.561027114829871e-05
PoolArea,77,78,1.7782609584848785e-07,7.476671813531641e-05
random,78,26,1.4938008498222022e-07,0.004869892857874783
PoolQC,79,75,5.466729697395367e-09,0.00011319782393666513
Utilities,80,81,0.0,4.0342789632504106e-06
RRNe,81,82,0.0,1.8390671797552747e-06
RRNn,82,80,0.0,2.514530339359139e-05
