Feature,rank1,rank2,Imp1,Imp2
GrLivArea,1,0,0.17339286142460497,-0.021340333781649887
OverallQual,0,1,0.1911932260776837,-0.015574162432234764
Age,2,2,0.07892279148126709,-0.004452737829797323
TotalBsmtSF,5,3,0.04798175049925311,-0.0032394219325249662
1stFlrSF,7,4,0.04220544020993635,-0.0026271187325156292
GarageArea,6,5,0.04285715172177336,-0.002062103422764642
ExterQual,3,6,0.06260032467333701,-0.0018763108149966075
GarageCars,4,7,0.0559693242188159,-0.0017967339630060655
BsmtFinSF1,11,8,0.018403182256543974,-0.0017680780709887212
LotArea,10,9,0.018947812223759252,-0.0015070297230972522
2ndFlrSF,13,10,0.016012907156922884,-0.0012414501441481013
Fireplaces,14,11,0.01477872844019275,-0.001101597408894376
OverallCond,19,12,0.010058111344455264,-0.0010699244887348684
Re_Age,12,13,0.018063067852061614,-0.0010200722238824546
CentralAir,18,14,0.010330720012780775,-0.0009035506149728187
FullBath,8,15,0.032924989603536306,-0.0008138749575029754
KitchenQual,9,16,0.020317176462857092,-0.000610554078413008
GarageType,15,17,0.012456791694743124,-0.0005905903986052029
Neighborhood,22,18,0.005351025867232117,-0.00044730935835744084
TotRmsAbvGrd,20,19,0.008044106420448857,-0.000404606117822795
BsmtQual,17,20,0.01150894746685331,-0.00033021199304397383
HalfBath,32,21,0.0031770618988563953,-0.00027543893108920164
MSZoning,23,22,0.0053242643065308445,-0.00025382023120976843
LotFrontage,16,23,0.011954996060726635,-0.00025159272796079074
OpenPorchSF,26,24,0.00421863768972155,-0.00019948572462133093
BsmtFullBath,48,25,0.001443943324598707,-0.00016588774782712312
WoodDeckSF,30,26,0.003441303032943662,-0.00016443372840730178
BsmtFinType1,31,27,0.0032215948114914673,-0.0001534308484686768
MasVnrArea,24,28,0.005289343705174183,-0.00014798858612867852
GarageQual,36,29,0.002412896411790255,-0.00013919159740715184
PavedDrive,46,30,0.001473587739191799,-0.00013840727954336773
KitchenAbvGr,49,31,0.0014433520964740145,-0.00013524975933659061
FireplaceQu,44,32,0.0016488153467171403,-0.0001283485911159135
SaleCondition,34,33,0.0025407288508556363,-0.00011652434157135086
HeatingQC,50,34,0.0013760850874699837,-0.00011060356647743519
BedroomAbvGr,28,35,0.0038548180667856897,-0.0001029364392499503
BldgType,40,36,0.0018062900073303094,-9.746288081217622e-05
BsmtUnfSF,21,37,0.005712108506088875,-8.298038132812519e-05
MoSold,29,38,0.0035942547698048976,-7.92230005211697e-05
BsmtExposure,39,39,0.002031416856970177,-7.848428148631709e-05
ExterCond,41,40,0.0017426449772247584,-7.786695634133187e-05
LandSlope,55,41,0.0008813166350175389,-7.770094685127099e-05
Foundation,25,42,0.0051381634524424605,-7.278850761157155e-05
GarageCond,33,43,0.0030338825045333967,-7.180596082196136e-05
Exterior1st,35,44,0.0024206657017128,-6.775144012596129e-05
HouseStyle,38,45,0.0023570511445679073,-6.451229730203636e-05
EnclosedPorch,43,46,0.001674611358648223,-4.579618397005866e-05
BsmtCond,51,47,0.0012726365385595825,-4.436506748391883e-05
SaleType,63,48,0.0005207465942289099,-4.052725966936094e-05
Feedr,62,49,0.0005374822659937302,-3.7326368369765967e-05
Exterior2nd,37,50,0.002377673817136112,3.2949351512462366e-05
GarageFinish,42,51,0.0016787319373419872,-3.1070711064631884e-05
Functional,57,52,0.0008279408776322695,-3.0886490201911115e-05
random,27,53,0.0041713873860036174,2.9014732517370495e-05
Electrical,64,54,0.0005121279137285825,-2.7696084688600547e-05
Artery,65,55,0.0004215380432255549,-2.4444601451498182e-05
MasVnrType,56,56,0.0008421664050657874,-2.4241782522419625e-05
BsmtFinType2,59,57,0.0007908332763734388,-1.961307575500809e-05
RoofStyle,47,58,0.0014539248537220127,-1.6856432339073385e-05
Alley,53,59,0.001003573170750097,-1.39947302546517e-05
MiscVal,67,60,0.0004102958214345637,-1.2902172122256084e-05
LotConfig,54,61,0.0009575047464015268,1.2139601101378295e-05
Fence,52,62,0.0011803791244249491,1.0585477707814733e-05
LowQualFinSF,71,63,0.00015192710316806453,8.69203841245142e-06
ScreenPorch,60,64,0.0006568918904017995,6.473167956936449e-06
Street,73,65,0.00010663932446707149,-5.950535089484232e-06
3SsnPorch,72,66,0.0001326377875739822,5.0063521773238695e-06
LandContour,58,67,0.0008276830211172298,-4.886539935473888e-06
MiscFeature,68,68,0.00023546182760159968,-4.302490824118627e-06
LotShape,45,69,0.0014770582087472051,2.4120610279919352e-06
PosA,76,70,9.199650777815555e-05,-2.4102445418672236e-06
RRAn,77,71,5.716306867625584e-05,2.3238605368069987e-06
PosN,75,72,9.2103250667524e-05,1.869517261658682e-06
Heating,66,73,0.0004137765978503765,-1.5685643186894027e-06
BsmtFinSF2,61,74,0.0006545279324379407,1.5431027875906222e-06
PoolArea,78,75,5.6781804577725635e-05,-1.3824678434873339e-06
RRAe,74,76,0.00010258905414449775,3.832531603430167e-07
RoofMatl,69,77,0.0002277427240182614,2.953122700093125e-07
BsmtHalfBath,70,78,0.00017440375255493173,2.8892000390051686e-07
PoolQC,79,79,2.2885209830689864e-05,-1.625448398726026e-07
Utilities,82,80,3.547203089940404e-06,0.0
RRNe,81,81,6.95063235205108e-06,0.0
RRNn,80,82,1.40188741937941e-05,0.0
