Feature,Importance
GrLivArea,0.06355846673250198
LotArea,0.05352822691202164
BsmtUnfSF,0.050705645233392715
OverallQual,0.045816533267498016
GarageArea,0.04359878972172737
random,0.04092741757631302
TotalBsmtSF,0.03881048411130905
Age,0.03744959831237793
LotFrontage,0.0346774198114872
OverallCond,0.030897177755832672
BsmtFinSF1,0.030544355511665344
Re_Age,0.029133064672350883
Neighborhood,0.027671370655298233
1stFlrSF,0.027368951588869095
EnclosedPorch,0.023790322244167328
SaleCondition,0.02197580598294735
Exterior1st,0.021471774205565453
MSZoning,0.021370967850089073
MoSold,0.02051411382853985
WoodDeckSF,0.019959677010774612
OpenPorchSF,0.01859879121184349
2ndFlrSF,0.015625
MasVnrArea,0.01401209644973278
GarageType,0.012651209719479084
BsmtFullBath,0.010332661680877209
BsmtFinType1,0.009727822616696358
Functional,0.00932459719479084
HouseStyle,0.009072580374777317
BsmtExposure,0.00846774224191904
KitchenQual,0.008064515888690948
Exterior2nd,0.00776209682226181
Artery,0.00776209682226181
BedroomAbvGr,0.007560483645647764
CentralAir,0.007258064579218626
Foundation,0.007157258223742247
ScreenPorch,0.007157258223742247
TotRmsAbvGrd,0.00705645140260458
BsmtFinSF2,0.00700604822486639
SaleType,0.006905241869390011
HeatingQC,0.006754032336175442
Fireplaces,0.0064012096263468266
LandSlope,0.006149193737655878
BsmtCond,0.006149193737655878
FullBath,0.005947580561041832
LotConfig,0.005594757851213217
GarageFinish,0.005594757851213217
MasVnrType,0.005493951495736837
ExterCond,0.005443548317998648
KitchenAbvGr,0.005393145140260458
Feedr,0.005191532429307699
Fence,0.004989919252693653
BsmtQual,0.0045362901873886585
FireplaceQu,0.004485887009650469
LotShape,0.004435483831912279
PoolArea,0.0043346774764359
LandContour,0.00428427429869771
GarageCars,0.00428427429869771
RRAe,0.00428427429869771
RoofStyle,0.003780241822823882
HalfBath,0.0036794354673475027
Alley,0.003326612990349531
BsmtFinType2,0.0027721773367375135
GarageCond,0.002721774158999324
PavedDrive,0.0024697580374777317
LowQualFinSF,0.0022681450936943293
BsmtHalfBath,0.0022681450936943293
RoofMatl,0.002066532149910927
3SsnPorch,0.0019153226166963577
ExterQual,0.0015625000232830644
Electrical,0.0015625000232830644
GarageQual,0.0015120967291295528
BldgType,0.0011592741357162595
RRAn,0.0006552419508807361
Heating,0.0006048387149348855
MiscFeature,0.00030241935746744275
MiscVal,0.00020161290012765676
PosN,0.00015120967873372138
Street,0.0
Utilities,0.0
PoolQC,0.0
PosA,0.0
RRNe,0.0
RRNn,0.0
